Kernel,MAE,RMSE
Dot-Product and White,0.08483282851031325,0.12893822110395606
RBF and White,0.0896815488325645,0.1350164281666356
RBF,0.11940477532918997,0.1770563438038557
Rational Quadratic,0.09560185863598357,0.1500016958276639
Rational Quadratic and White,0.08707034804272643,0.1345219259047639
Matern,0.09991613224149504,0.14862960864436725
Matern and White,0.08721996185078378,0.13354308329662384
Constant,0.13889083025949656,0.2007176229618317
Constant and White,0.13889083025949656,0.2007176229618317
